work_year,experience_level,employment_type,job_title, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size
2023,Senior-level,Full-Time,Principal Data Scientist,"$85,847 ",Spain,Remote,Spain,Large
2023,Mid-level,Contract,ML Engineer,"$30,000 ",United States,Remote,United States,Small
2023,Mid-level,Contract,ML Engineer,"$25,500 ",United States,Remote,United States,Small
2023,Senior-level,Full-Time,Data Scientist,"$175,000 ",Canada,Remote,Canada,Medium
2023,Senior-level,Full-Time,Data Scientist,"$120,000 ",Canada,Remote,Canada,Medium
2023,Senior-level,Full-Time,Applied Scientist,"$222,200 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Applied Scientist,"$136,000 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Scientist,"$219,000 ",Canada,On-site,Canada,Medium
2023,Senior-level,Full-Time,Data Scientist,"$141,000 ",Canada,On-site,Canada,Medium
2023,Senior-level,Full-Time,Data Scientist,"$147,100 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$90,700 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$130,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$100,000 ",United States,Remote,United States,Medium
2023,Entry-level,Full-Time,Applied Scientist,"$213,660 ",United States,On-site,United States,Large
2023,Entry-level,Full-Time,Applied Scientist,"$130,760 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Modeler,"$147,100 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Modeler,"$90,700 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$170,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$150,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Analyst,"$150,000 ",United States,Remote,United States,Medium
2023,Mid-level,Full-Time,Data Analyst,"$110,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Research Engineer,"$275,000 ",Germany,On-site,Germany,Medium
2023,Senior-level,Full-Time,Research Engineer,"$174,000 ",Germany,On-site,Germany,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$230,000 ",United Kingdom,Remote,United Kingdom,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$143,200 ",United Kingdom,Remote,United Kingdom,Medium
2023,Senior-level,Full-Time,Business Intelligence Engineer,"$225,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Business Intelligence Engineer,"$156,400 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$200,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$130,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Strategist,"$90,000 ",Canada,On-site,Canada,Medium
2023,Senior-level,Full-Time,Data Strategist,"$72,000 ",Canada,On-site,Canada,Medium
2023,Senior-level,Full-Time,Data Engineer,"$253,200 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$90,700 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Computer Vision Engineer,"$342,810 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Computer Vision Engineer,"$184,590 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Engineer,"$162,500 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Engineer,"$130,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Analyst,"$105,380 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Analyst,"$64,500 ",United States,On-site,United States,Medium
2023,Entry-level,Full-Time,Data Quality Analyst,"$100,000 ",Nigeria,Remote,Nigeria,Large
2023,Entry-level,Full-Time,Compliance Data Analyst,"$30,000 ",Nigeria,Remote,Nigeria,Large
2022,Mid-level,Full-Time,Machine Learning Engineer,"$20,984 ",India,Partially Remote,India,Large
2023,Entry-level,Full-Time,Applied Scientist,"$204,620 ",United States,On-site,United States,Large
2023,Entry-level,Full-Time,Applied Scientist,"$110,680 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Engineer,"$270,703 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$221,484 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$212,750 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$185,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$262,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$245,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$275,300 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$183,500 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$218,500 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$199,098 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$203,300 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$123,600 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Research Engineer,"$189,110 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Research Engineer,"$139,000 ",United States,On-site,United States,Medium
2023,Expert,Full-Time,Data Scientist,"$258,750 ",United States,On-site,United States,Medium
2023,Expert,Full-Time,Data Scientist,"$185,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$231,500 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$166,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$172,500 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$110,500 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$238,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$176,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$237,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$201,450 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Applied Scientist,"$309,400 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Applied Scientist,"$159,100 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Engineer,"$115,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$81,500 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$237,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$201,450 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Computer Vision Engineer,"$280,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Computer Vision Engineer,"$210,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Architect,"$280,100 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Architect,"$168,100 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$193,500 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$139,000 ",United States,Remote,United States,Medium
2023,Mid-level,Full-Time,Data Scientist,"$65,062 ",Hong Kong,On-site,Hong Kong,Large
